clients,time,calls,Algorithm
10,3345,50,Exponential
10,443,37,Decorr
10,719,42,EqualJitter
10,470,39,FullJitter
10,381,51,None
10,554,29,MyBackoff
20,14468,149,Exponential
20,816,101,Decorr
20,1643,108,EqualJitter
20,993,100,FullJitter
20,608,154,None
20,1190,74,MyBackoff
30,22202,276,Exponential
30,1251,180,Decorr
30,2632,182,EqualJitter
30,1594,170,FullJitter
30,775,287,None
30,1974,128,MyBackoff
40,29688,437,Exponential
40,1725,273,Decorr
40,3569,262,EqualJitter
40,2291,249,FullJitter
40,955,469,None
40,2847,188,MyBackoff
50,36605,627,Exponential
50,2276,374,Decorr
50,4257,347,EqualJitter
50,2830,332,FullJitter
50,1145,694,None
50,3576,250,MyBackoff
60,43115,832,Exponential
60,2643,486,Decorr
60,4927,435,EqualJitter
60,3446,420,FullJitter
60,1333,957,None
60,4588,315,MyBackoff
70,47927,1052,Exponential
70,3287,604,Decorr
70,5358,525,EqualJitter
70,3819,509,FullJitter
70,1512,1266,None
70,5500,383,MyBackoff
80,53865,1302,Exponential
80,3728,725,Decorr
80,5747,618,EqualJitter
80,4203,601,FullJitter
80,1682,1609,None
80,6706,456,MyBackoff
90,58493,1560,Exponential
90,4105,862,Decorr
90,6269,714,EqualJitter
90,4543,698,FullJitter
90,1854,1994,None
90,7592,528,MyBackoff
100,63635,1855,Exponential
100,4616,996,Decorr
100,6620,812,EqualJitter
100,4981,796,FullJitter
100,2035,2425,None
100,8756,602,MyBackoff
110,68307,2161,Exponential
110,4999,1149,Decorr
110,7132,911,EqualJitter
110,5252,896,FullJitter
110,2201,2886,None
110,9703,679,MyBackoff
120,72141,2476,Exponential
120,5430,1294,Decorr
120,7463,1012,EqualJitter
120,5469,999,FullJitter
120,2371,3394,None
120,10034,756,MyBackoff
130,77365,2831,Exponential
130,5856,1444,Decorr
130,7718,1115,EqualJitter
130,5877,1102,FullJitter
130,2544,3941,None
130,11053,836,MyBackoff
140,81405,3174,Exponential
140,6102,1598,Decorr
140,7868,1218,EqualJitter
140,6080,1208,FullJitter
140,2705,4516,None
140,12117,916,MyBackoff
150,86077,3549,Exponential
150,6399,1754,Decorr
150,8385,1324,EqualJitter
150,6355,1318,FullJitter
150,2874,5141,None
150,12775,997,MyBackoff
160,90239,3937,Exponential
160,6944,1926,Decorr
160,8725,1434,EqualJitter
160,6631,1427,FullJitter
160,3052,5807,None
160,13216,1078,MyBackoff
170,93298,4313,Exponential
170,7348,2089,Decorr
170,8793,1538,EqualJitter
170,6878,1541,FullJitter
170,3212,6497,None
170,13763,1162,MyBackoff
180,97664,4753,Exponential
180,7698,2255,Decorr
180,9174,1649,EqualJitter
180,7178,1656,FullJitter
180,3379,7233,None
180,15030,1244,MyBackoff
190,101275,5159,Exponential
190,7895,2426,Decorr
190,9457,1759,EqualJitter
190,7378,1773,FullJitter
190,3523,7986,None
190,15691,1330,MyBackoff
